Link,Title,Platform,Level
/course/western-christianity-200-1650-8106,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,coursera,beginner
/course/composition-617,English Composition I,coursera,beginner
/course/anatomy403-3x-12803,Anatomy: Human Neuroanatomy,coursera,beginner
/course/community-organizing-17293,Community Organizing for Social Justice ,coursera,beginner
/course/foundational-skills-communicating-health-16914,Foundational Skills for Communicating About Health,coursera,beginner
/course/crypto-finance-18184,Blockchain and Cryptocurrency Explained,coursera,beginner
/course/anatomy403-1x-12797,Anatomy: Musculoskeletal and Integumentary Systems,coursera,beginner
/course/python-basics-12555,Python Basics,coursera,beginner
/course/teamwork-skills-effective-communication-9661,Teamwork Skills: Communicating Effectively in Groups,coursera,beginner
/course/popularity-3541,Psychology of Popularity,coursera,beginner
/course/communication-strategies-virtual-age-11654,Communication Strategies for a Virtual Age,coursera,beginner
/course/black-holes-astro-101-11460,Astro 101: Black Holes,coursera,beginner
/course/health-gender-spectrum-8300,Health Across the Gender Spectrum,coursera,beginner
/course/severe-to-profound-intellectual-disabili-15206,Severe to Profound Intellectual Disability: Circles of Care and Education,coursera,beginner
/course/chemerinsky-on-constitutional-law-struct-7418,Chemerinsky on Constitutional Law - The Structure of Government,coursera,beginner
/course/wharton-managing-human-capital-6887,Managing Social and Human Capital,coursera,beginner
/course/introduction-intellectual-property-13446,Introduction to Intellectual Property,coursera,beginner
/course/finance-fundamentals-20026,Fundamentals of Finance,coursera,beginner
/course/exploring-renewable-energy-17025,Exploring Renewable Energy Schemes,coursera,beginner
/course/management-fundamentals-healthcare-admin-10801,Management Fundamentals,coursera,beginner
/course/feedingtheworld-3913,Feeding the World,coursera,beginner
/course/health-law-fundamentals-18065,U.S. Health Law Fundamentals,coursera,beginner
/course/intellectual-property-healthcare-industry-18053,Intellectual Property in the Healthcare Industry,coursera,beginner
/course/comparative-health-systems-18064,Comparative Health Systems,coursera,beginner
/course/esg-social-activism-59396,ESG and Social Activism,coursera,beginner
/course/big-data-integration-processing-6467,Big Data Integration and Processing,coursera,beginner
/course/everyday-parenting-8875,Everyday Parenting: The ABCs of Child Rearing,coursera,beginner
/course/linear-algebra-machine-learning-10453,Mathematics for Machine Learning: Linear Algebra,coursera,beginner
/course/sustainable-diets-22459,Public Health Perspectives on Sustainable Diets,coursera,beginner
/course/neuroscience-neuroimaging-9719,Fundamental Neuroscience for Neuroimaging,coursera,beginner
/course/hypothesis-testing-public-health-12760,Hypothesis Testing in Public Health ,coursera,beginner
/course/summary-statistics-12762,Summary Statistics in Public Health ,coursera,beginner
/course/simple-regression-analysis-public-health-12763,Simple Regression Analysis in Public Health ,coursera,beginner
/course/multiple-regression-analysis-public-heal-12765,Multiple Regression Analysis in Public Health ,coursera,beginner
/course/health-equity-research-17892,Foundations of Health Equity Research,coursera,beginner
/course/strategies-assisted-living-covid19-23187,Strategies for Assisted Living Communities during COVID-19,coursera,beginner
/course/big-data-ai-ethics-17300,"Big Data, Artificial Intelligence, and Ethics",coursera,beginner
/course/hiddenmessages-3289,Finding Hidden Messages in DNA (Bioinformatics I),coursera,beginner
/course/introduction-psychology-12509,Introduction to Psychology ,coursera,beginner
/course/covid-19-contact-tracing-19669,COVID-19 Contact Tracing,coursera,beginner
/course/career-advancement-7018,Successful Career Development,coursera,beginner
/course/onehealth-20756,"Bats, Ducks, and Pandemics: An Introduction to One Health Policy",coursera,beginner
/course/human-needs-8253,The Arts and Science of Relationships: Understanding Human Needs,coursera,beginner
/course/ictinprimary-1763,ICT in Primary Education: Transforming children's learning across the curriculum,coursera,beginner
/course/breastfeeding-10633,Stanford's Short Course on Breastfeeding,coursera,beginner
/course/womens-health-human-rights-8615,International Women's Health and Human Rights,coursera,beginner
/course/emergenceoflife-1401,Emergence of Life,coursera,beginner
/course/python-functions-files-dictionaries-12553,"Python Functions, Files, and Dictionaries",coursera,beginner
/course/paytech-18185,The Future of Payment Technologies,coursera,beginner
/course/introtoux-principles-and-processes-12348,Introduction to User Experience Principles and Processes,coursera,beginner
/course/compthinking-17328,Problem Solving Using Computational Thinking,coursera,beginner
/course/anatomy403-2x-12798,"Anatomy: Cardiovascular, Respiratory and Urinary Systems",coursera,beginner
/course/people-technology-and-the-future-of-mobility-107771,"People, Technology and the Future of Mobility ",coursera,beginner
/course/anatomy403-4x-12799,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",coursera,beginner
/course/writing-editing-structure-19554,Writing and Editing: Structure and Organization,coursera,beginner
/course/understanding-user-needs-12352,Understanding User Needs,coursera,beginner
/course/data-collection-methods-6087,"Data Collection: Online, Telephone and Face-to-face",coursera,beginner
/course/invest-tech-18186,Innovations in Investment Technology: Artificial Intelligence,coursera,beginner
/course/evaluating-designs-with-users-12357,Evaluating Designs with Users,coursera,beginner
/course/credit-tech-18187,"Raising Capital: Credit Tech, Coin Offerings, and Crowdfunding",coursera,beginner
/course/brilliant-passionate-you-22019,"Brilliant, Passionate You",coursera,beginner
/course/act-on-climate-8737,"Act on Climate: Steps to Individual, Community, and Political Action",coursera,beginner
/course/sampling-methods-6084,"Sampling People, Networks and Records",coursera,beginner
/course/history-of-racial-inequity-in-healthcare-55975,History of Racial Inequity in Healthcare,coursera,beginner
/course/industrial-internet-of-things-55788,Industrial Internet of Things (IIoT),coursera,beginner
/course/introduction-to-translational-science-71220,Introduction to Translational Science ,coursera,beginner
/course/opioid-17109,"Impacting the Opioid Crisis: Prevention, Education, and Practice for Non-Prescribing Providers",coursera,beginner
/course/speaking-and-presenting-pitches-persuasion-54627,Speaking and Presenting: Pitches and Persuasion,coursera,beginner
/course/what-is-a-socially-just-university-58994,Community Awareness: What is a Socially Just University ,coursera,beginner
/course/translating-research-to-patients-71219,Translating Research to Patients,coursera,beginner
/course/translating-research-for-humans-71221,Translating Basic Research into Research for Humans ,coursera,beginner
/course/digital-twins-55789,Digital Twins,coursera,beginner
/course/chronicpain-1769,Preventing Chronic Pain: A Human Systems Approach,coursera,beginner
/course/lead-ei-710,Inspiring Leadership through Emotional Intelligence,coursera,beginner
/course/ielts-listening-speaking-40665,IELTS Listening and Speaking Sections Skills Mastery,coursera,beginner
/course/chemerinsky-individual-rights-7798,Chemerinsky on Constitutional Law – Individual Rights and Liberties,coursera,beginner
/course/life101-48059,Life 101: Mental and Physical Self-Care,coursera,beginner
/course/tesol-speaking-6201,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",coursera,beginner
/course/comparinggenomes-3291,"Comparing Genes, Proteins, and Genomes (Bioinformatics III)",coursera,beginner
/course/user-experience-design-6535,Introduction to User Experience Design ,coursera,beginner
/course/3d-printing-revolution-5991,The 3D Printing Revolution,coursera,beginner
/course/clustering-3556,Genomic Data Science and Clustering (Bioinformatics V),coursera,beginner
/course/managing-emotions-uncertainty-stress-22856,Managing Emotions in Times of Uncertainty & Stress,coursera,beginner
/course/sql-for-data-science-9725,SQL for Data Science,coursera,beginner
/course/construction-scheduling-7114,Construction Scheduling,coursera,beginner
/course/gcp-fundamentals-7784,Google Cloud Fundamentals: Core Infrastructure,coursera,beginner
/course/international-travel-8782,"International Travel Preparation, Safety, & Wellness",coursera,beginner
/course/health-systems-10756,Understanding and Strengthening Health Systems,coursera,beginner
/course/jhu-getting-started-data-viz-r-22205,Getting Started with Data Visualization in R,coursera,beginner
/course/the-data-science-of-health-informatics-12856,The Data Science of Health Informatics,coursera,beginner
/course/calculus-through-data-and-modelling-imits-derivat-27983,Calculus through Data & Modeling: Limits & Derivatives,coursera,beginner
/course/precalculus-relations-functions-21858,Precalculus: Relations and Functions,coursera,beginner
/course/introduction-digital-health-entrepreneurship-58642,Introduction to Digital Health Entrepreneurship,coursera,beginner
/course/data-what-it-is-what-can-we-do-with-it-22210,"Data – What It Is, What We Can Do With It",coursera,beginner
/course/evidence-based-toxicology-12316,Evidence-based Toxicology,coursera,beginner
/course/black-agricultural-solutions-64533,Black Agricultural Solutions to Food Apartheid: A Teach-Out,coursera,beginner
/course/design-and-conduct-clinical-trials-110351,Design and Conduct of Clinical Trials,coursera,beginner
/course/the-outcomes-and-interventions-of-health-12855,The Outcomes and Interventions of Health Informatics,coursera,beginner
/course/precalculus-periodic-functions-21859,Precalculus: Periodic Functions,coursera,beginner
/course/calculus-through-data-and-modelling-precalculus-r-27987,Calculus through Data & Modeling: Precalculus Review,coursera,beginner
/course/measurement-turning-concepts-data-22203,Measurement – Turning Concepts into Data,coursera,beginner
/course/poct-for-sti-56223,Point of Care Testing for Sexually Transmitted Infections,coursera,beginner
/course/a-public-health-approach-to-hearing-loss-and-agin-74666,A Public Health Approach to Hearing Loss and Aging,coursera,beginner
/course/precalculus-mathematical-modelling-21860,Precalculus: Mathematical Modeling,coursera,beginner
/course/clinical-trials-data-collection-management-qualit-110350,Clinical Trials Data Management and Quality Assurance,coursera,beginner
/course/tidyverse-importing-data-22820,Importing Data in the Tidyverse,coursera,beginner
/course/leadership-for-cancer-informatics-research-56965,Leadership for Cancer Informatics  Research,coursera,beginner
/course/clinical-trials-management-and-advanced-operation-110349,Clinical Trials Management and Advanced Operations,coursera,beginner
/course/tidyverse-22819,Introduction to the Tidyverse,coursera,beginner
/course/clinical-trials-analysis-presentation-statistical-110352,"Clinical Trials Analysis, Monitoring, and Presentation",coursera,beginner
/course/computing-for-cancer-informatics-71218,Computing for Cancer Informatics,coursera,beginner
/course/sodium-66052,Global Sodium Reduction Strategies,coursera,beginner
/course/video-game-world-4314,World Design for Video Games,coursera,beginner
/course/deductive-reasoning-6616,Think Again II: How to Reason Deductively,coursera,beginner
/course/visualization-for-data-journalism-16889,Visualization for Data Journalism,coursera,beginner
/course/healthcare-medical-technology-5472,Medical Technology and Evaluation,coursera,beginner
/course/poetry-workshop-4185,Sharpened Visions: A Poetry Workshop,coursera,beginner
/course/drug-commercialization-7255,Drug Commercialization ,coursera,beginner
/course/excel-essentials-9638,Excel Skills for Business: Essentials,coursera,beginner
/course/heritage-protection-6505,Heritage under Threat,coursera,beginner
/course/screening-4793,Disease Screening in Public Health,coursera,beginner
/course/datamanagement-540,Data Management for Clinical Research,coursera,beginner
/course/science-exercise-8679,Science of Exercise,coursera,beginner
/course/scanfilmtv-665,Scandinavian Film and Television,coursera,beginner
/course/writing-for-business-6595,Business Writing,coursera,beginner
/course/archaeoastronomy-7789,Archaeoastronomy,coursera,beginner
