Link,Title,Platform,Duration
/course/computational-fluid-mechanics-airflow-around-a-sp-55918,Computational Fluid Mechanics - Airflow Around a Spoiler,coursera,1-5
/course/measuring-stock-liquidity-20961,Measuring Stock Liquidity,coursera,1-5
/course/object-localization-tensorflow-32679,Object Localization with TensorFlow,coursera,1-5
/course/basic-game-development-with-levels-using-scratch-20754,Basic Game Development with Levels using Scratch,coursera,1-5
/course/create-outstanding-infographics-using-piktochart-19328,Create Infographics using Piktochart,coursera,1-5
/course/designing-formatting-presentation-powerpoint-55786,Designing and Formatting a Presentation in PowerPoint,coursera,1-5
/course/create-animated-social-media-posts-canva-34323,Create Animated Social Media Posts using Canva,coursera,1-5
/course/create-your-first-multithreaded-application-20942,Create Your First Multithreaded Application in Java,coursera,1-5
/course/analyze-text-data-yellowbrick-18952,Analyze Text Data with Yellowbrick,coursera,1-5
/course/getting-started-microsoft-excel-89451,Getting started with Microsoft Excel,coursera,1-5
/course/database-design-with-sql-server-management-studio-21509,Database Design with SQL Server Management Studio (SSMS),coursera,1-5
/course/free-blogger-business-page-25529,Creating a Free Business Page with Blogger,coursera,1-5
/course/image-noise-reduction-auto-encoders-18165,Image Noise Reduction with Auto-encoders using TensorFlow,coursera,1-5
/course/customer-journey-mapping-miro-20947,Product Development: Customer Journey Mapping with Miro,coursera,1-5
/course/designing-a-low-fidelity-prototype-in-figma-65979,Designing a Low Fidelity Prototype in Figma,coursera,1-5
/course/mastering-sql-joins-22020,Mastering SQL Joins,coursera,1-5
/course/tensorflow-serving-docker-model-deployment-21295,TensorFlow Serving with Docker for Model Deployment,coursera,1-5
/course/python-linux-script-disk-usage-report-20938,Create Python Linux Script to Generate a Disk Usage Report,coursera,1-5
/course/mining-quality-prediction-21003,Mining Quality Prediction Using Machine & Deep Learning,coursera,1-5
/course/create-lead-generation-messenger-chatbot-using-ch-34362,Create a Lead Generation Messenger Chatbot using Chatfuel,coursera,1-5
/course/wireshark-for-network-security-21530,Wireshark for Basic Network Security Analysis,coursera,1-5
/course/tensorflow-regularization-avoid-overfitting-18166,Avoid Overfitting Using Regularization in TensorFlow,coursera,1-5
/course/agile-prototype-analysis-miro-22057,Agile Project: Product Prototype Touchpoint Analysis in Miro,coursera,1-5
/course/actively-learn-32645,Increase Reading Comprehension with Actively Learn,coursera,1-5
/course/automl-computer-vision-microsoft-custom-vision-20033,AutoML for Computer Vision with Microsoft Custom Vision,coursera,1-5
/course/neural-style-transfer-18164,Neural Style Transfer with TensorFlow,coursera,1-5
/course/how-to-set-up-a-facebook-ads-campaign-58186,How to Set Up a Facebook Ads Campaign,coursera,1-5
/course/custom-attribution-modeling-with-google-analytics-20102,Custom Attribution Modeling with Google Analytics,coursera,1-5
/course/sql-joins-22050,SQL Joins ,coursera,1-5
/course/tensorflow-for-ai-get-to-know-tensorflow-21636,TensorFlow for AI: Get to Know Tensorflow,coursera,1-5
/course/getting-started-with-azure-iot-hub-65994,Getting started with Azure IOT Hub,coursera,1-5
/course/kubernetes-basic-architecture-first-deployment-56017,Kubernetes: Basic Architecture and First Deployment,coursera,1-5
/course/create-buy-signal-filter-using-r-quantmod-package-20098,Stock Analysis:  Create a Buy Signal Filter using R and the Quantmod Package,coursera,1-5
/course/machine-learning-h2o-flow-20319,Machine Learning with H2O Flow,coursera,1-5
/course/create-an-a-b-web-page-and-marketing-test-with-go-32788,Create an A/B web page marketing test with Google Optimize,coursera,1-5
/course/microsoft-powerpoint-how-to-customize-your-slides-58265,How To Visualize Your Data Using Microsoft Powerpoint,coursera,1-5
/course/marketing-analytics-dashboard-google-data-studio-39340,Create a Custom Marketing Analytics Dashboard in Data Studio,coursera,1-5
/course/create-virtual-private-cloud-vpc-aws-34359,Create a Virtual Private Cloud (VPC) Using AWS,coursera,1-5
/course/tensorflow-tensorrt-21472,Optimize TensorFlow Models For Deployment with TensorRT,coursera,1-5
/course/siamese-network-triplet-loss-keras-19109,Siamese Network with Triplet Loss in Keras,coursera,1-5
/course/the-product-life-cycle-21206,The Product Lifecycle: A Guide from start to finish ,coursera,1-5
/course/covid19-data-visualization-using-python-21514,COVID19 Data Visualization Using Python,coursera,1-5
/course/multilayer-perceptron-model-keras-19292,Build Multilayer Perceptron Models with Keras,coursera,1-5
/course/save-load-export-keras-models-18948,"Save, Load and Export Models with Keras",coursera,1-5
/course/program-evaluation-non-profit-23230,How to Create a Program Evaluation for Your Non-Profit ,coursera,1-5
/course/cfd-simulation-through-a-centrifugal-pump-obg1d-55813,CFD Simulation Through a Centrifugal Pump,coursera,1-5
/course/machine-learning-visualization-18162,Visual Machine Learning with Yellowbrick,coursera,1-5
/course/create-format-document-with-libreoffice-writer-19529,Create and Format a Basic Document with LibreOffice Writer,coursera,1-5
/course/teaching-prodigy-21301,Improving Math Engagement with Prodigy,coursera,1-5
