Link,Title,Platform,Duration
/course/edx-epidemics-iv-19506,Epidemics IV,edx,5-10
/course/fintech-technologies-116673,FinTech Technologies,edx,5-10
/course/edx-contemporary-japanese-society-what-has-been-happening-behind-demographic-change-13074,Contemporary Japanese Society: What Has Been Happening Behind Demographic Change?,edx,5-10
/course/edx-introduction-to-engineering-and-design-12329,Introduction to Engineering and Design,edx,5-10
/course/electronic-materials-and-semiconductors-32158,Semiconductors for Beginners,edx,5-10
/course/handling-children-in-healthcare-21880,Handling Children In A Healthcare Setting,edx,5-10
/course/edx-the-ethics-of-memory-8538,The Ethics of Memory,edx,5-10
/course/edx-fantastic-places-unhuman-humans-exploring-humanity-through-literature-10255,"Fantastic Places, Unhuman Humans: Exploring Humanity Through Literature",edx,5-10
/course/edx-artful-medicine-art-s-power-to-enrich-patient-care-8541,Artful Medicine: Art’s Power to Enrich Patient Care,edx,5-10
/course/edx-beyond-medical-histories-gaining-insight-from-patient-stories-11762,Beyond Medical Histories: Gaining Insight from Patient Stories,edx,5-10
/course/edx-how-to-do-things-with-memes-13483,How to Do Things with Memes,edx,5-10
/course/edx-engagement-in-a-time-of-polarization-10256,Engagement in a Time of Polarization,edx,5-10
/course/edx-belong-appartenir-community-race-and-space-in-the-u-s-and-france-11879,"Belong / Appartenir: Community, Race, and Space in the U.S. and France",edx,5-10
/course/edx-introduction-to-web-development-with-html5-css3-and-javascript-20965,"Introduction to Web Development with HTML5, CSS3, and JavaScript",edx,5-10
/course/edx-ai-chatbots-without-programming-11326,AI Chatbots without Programming,edx,5-10
/course/edx-sustainable-development-the-water-energy-food-nexus-11373,Sustainable Development: The Water-Energy-Food Nexus,edx,5-10
/course/entrepreneurship-101-getting-to-market-1-37608,Entrepreneurship 101 - Getting To Market 1,edx,5-10
/course/edx-basics-of-power-bi-19567,Basics of Power BI,edx,5-10
/course/edx-essential-career-skills-for-investment-banking-and-finance-13638,Essential Career Skills for Investment Banking and Finance,edx,5-10
/course/edx-introductory-statistics-analyzing-data-using-graphs-and-statistics-10114,Introductory Statistics : Analyzing Data Using Graphs and Statistics,edx,5-10
/course/edx-the-business-of-aging-in-the-longevity-economy-19345,The Business of Aging in the Longevity Economy,edx,5-10
/course/edx-more-fun-with-prime-numbers-9427,More Fun with Prime Numbers,edx,5-10
/course/edx-blendedx-blended-learning-with-edx-3212,BlendedX: Blended Learning with edX,edx,5-10
/course/edx-introduction-to-deep-earth-science-3759,Introduction to Deep Earth Science,edx,5-10
/course/edx-introductory-statistics-sample-survey-and-instruments-for-statistical-inference-12755,Introductory Statistics : Sample Survey and Instruments for Statistical Inference,edx,5-10
/course/edx-money-markets-foreign-exchange-and-time-value-of-money-14514,"Money Markets, Foreign Exchange and Time Value of Money",edx,5-10
/course/edx-flood-risk-management-9302,Flood Risk Management,edx,5-10
/course/edx-environmental-engineering-drinking-water-treatment-19001,Environmental Engineering: Drinking Water Treatment,edx,5-10
/course/edx-myths-rituals-and-cosmos-18081,"Myths, Rituals, and Cosmos",edx,5-10
/course/edx-data-science-readiness-assessment-7995,Data Science Readiness Assessment,edx,5-10
/course/edx-religious-symbols-of-the-world-18148,Religious Symbols of the World,edx,5-10
/course/environmental-engineering-air-pollution-and-treat-23286,Environmental Engineering: Air Pollution and Treatment,edx,5-10
/course/edx-ai-applications-with-watson-11731,AI Applications with Watson,edx,5-10
/course/edx-what-is-poetry-an-introduction-to-literary-analysis-21399,What is Poetry? An Introduction to Literary Analysis,edx,5-10
/course/edx-monozukuri-making-things-11385,Monozukuri: Making Things,edx,5-10
/course/edx-introduction-to-inclusive-talent-acquisition-7201,Introduction to Inclusive Talent Acquisition,edx,5-10
/course/englishwork-basic-interview-skills-53856,[email protected]: Basic Interview Skills,edx,5-10
/course/metadata-training-connecting-users-to-assets-116669,Metadata & Training: Connecting Users to Assets,edx,5-10
/course/edx-introduction-to-internet-of-things-iot-19566,Introduction to Internet of Things (IoT),edx,5-10
/course/edx-ethics-in-ai-and-data-science-18137,Ethics in AI and Data Science,edx,5-10
/course/how-we-see-the-world-visual-function-and-eye-heal-40746,How We See the World: Visual Function and Eye Health,edx,5-10
/course/edx-fundamentals-of-financial-mathematics-and-capital-budgeting-18149,Fundamentals of Financial Mathematics and Capital Budgeting,edx,5-10
/course/edx-frailty-in-daily-living-14483,Frailty in Daily Living,edx,5-10
/course/edx-introduction-to-finops-20586,Introduction to FinOps,edx,5-10
/course/englishwork-advanced-interview-skills-53858,[email protected]: Advanced Interview Skills,edx,5-10
/course/englishwork-cvs-53855,[email protected]: CVs,edx,5-10
/course/englishwork-cover-letters-53857,[email protected]: Cover Letters,edx,5-10
/course/edx-care-age-related-diseases-and-disorders-12730,CARE: Age related diseases and disorders,edx,5-10
/course/staying-focused-in-a-complicated-world-3-55757,Staying F.O.C.U.S.E.D. in a complicated world (Business Discipline),edx,5-10
/course/edx-care-promotion-of-healthy-ageing-12726,CARE: Promotion of Healthy Ageing,edx,5-10
/course/edx-ethics-of-sports-do-sports-morally-matter-6545,Ethics of Sports: Do Sports Morally Matter?,edx,5-10
/course/edx-mentoring-engineers-with-impact-20931,Mentoring engineers with impact,edx,5-10
/course/edx-open-source-and-the-5g-transition-13842,Open Source and the 5G Transition,edx,5-10
/course/edx-accounting-system-structure-and-information-management-20168,Accounting System Structure and Information Management,edx,5-10
/course/r-programming-basics-for-data-science-85796,R Programming Basics for Data Science,edx,5-10
/course/designing-for-change-environmental-education-and--65968,Designing for Change: Environmental Education Research and Practice,edx,5-10
/course/edx-smarter-chatbots-with-node-red-and-watson-ai-11730,Smarter Chatbots with Node-RED and Watson AI,edx,5-10
/course/edx-agile-mindset-introduction-19565,Agile Mindset Introduction,edx,5-10
/course/our-global-ocean-an-introduction-course-22012,Our Global Ocean – An Introduction Course,edx,5-10
/course/the-language-of-leaders-learn-to-speak-with-confi-24329,The Language of Leaders: Learn to Speak with Confidence,edx,5-10
/course/edx-design-in-the-classroom-with-cooper-hewitt-smithsonian-design-museum-8357,"Design in the Classroom with Cooper Hewitt, Smithsonian Design Museum",edx,5-10
/course/hyperledger-besu-essentials-creating-a-private-bl-45964,Hyperledger Besu Essentials: Creating a Private Blockchain Network,edx,5-10
/course/foundations-for-transforming-teaching-and-learnin-21895,Foundations for Transforming Teaching and Learning about Native Americans,edx,5-10
/course/google-cloud-computing-foundations-data-ml-and-ai-110557,"Google Cloud Computing Foundations: Data, ML, and AI in Google Cloud",edx,5-10
/course/apache-spark-for-data-engineering-and-machine-lea-47286,Apache Spark for Data Engineering and Machine Learning,edx,5-10
/course/devops-aws-code-build-test-57273,"DevOps on AWS: Code, Build, and Test",edx,5-10
/course/edx-the-power-of-data-19568,The Power of Data,edx,5-10
/course/professionalism-grooming-and-etiquette-37675,"Professionalism, Grooming and Etiquette",edx,5-10
/course/the-language-of-leaders-learn-to-write-with-confi-53211,The Language of Leaders: Learn to Write with Confidence,edx,5-10
/course/visualizing-data-with-r-85798,Visualizing Data with R,edx,5-10
/course/introduction-to-behavioural-finance-37679,Introduction to Behavioural Finance,edx,5-10
/course/projecting-public-debt-the-public-debt-dynamics-t-56026,Projecting Public Debt - The Public Debt Dynamics Tool,edx,5-10
/course/fixed-income-portfolio-management-47290,Fixed Income Portfolio Management,edx,5-10
/course/making-impactful-presentations-33548,Making Impactful Presentations,edx,5-10
/course/google-cloud-computing-foundations-cloud-computin-110560,Google Cloud Computing Foundations: Cloud Computing Fundamentals,edx,5-10
/course/introduction-to-product-managment-56226,Introduction to Product Management,edx,5-10
/course/edx-data-privacy-awareness-19569,Data Privacy Awareness,edx,5-10
/course/basics-of-digital-marketing-for-all-66035,Basics of Digital Marketing for All,edx,5-10
/course/getting-a-good-deal-negotiating-extractive-indust-43681,Getting a Good Deal: Negotiating Extractive Industry Contracts,edx,5-10
/course/google-cloud-computing-foundations-networking-and-110558,Google Cloud Computing Foundations: Networking and Security in Google Cloud,edx,5-10
/course/unleashing-creativity-in-the-workplace-22158,Unleashing Creativity at the Workplace,edx,5-10
/course/blockchain-framework-platforms-70686,Blockchain Framework & Platforms,edx,5-10
/course/inclusive-growth-fiscal-policy-57279,Inclusive Growth: Fiscal Policy,edx,5-10
/course/introduction-to-web-authentication-56969,Introduction to Web Authentication,edx,5-10
/course/designing-for-textiles-58211,Designing for Textiles,edx,5-10
/course/google-cloud-computing-foundations-infrastructure-110559,Google Cloud Computing Foundations: Infrastructure in Google Cloud,edx,5-10
/course/devops-aws-release-deploy-57274,DevOps on AWS: Release and Deploy,edx,5-10
/course/inclusive-growth-labor-markets-gender-and-technol-57278,"Inclusive Growth: Labor Markets, Gender, and Technology",edx,5-10
/course/how-to-buy-cloud-strategies-for-cloud-procurement-43846,How to Buy Cloud - Strategies for Cloud Procurement,edx,5-10
/course/devops-aws-operate-monitor-57275,DevOps on AWS: Operate and Monitor,edx,5-10
/course/inclusive-growth-concepts-and-indicators-57277,Inclusive Growth: Concepts and Indicators,edx,5-10
/course/us-china-relations-what-is-at-stake-40266,US-China Relations – What Is at Stake,edx,5-10
/course/r-data-science-capstone-project-85799,R Data Science Capstone Project,edx,5-10
/course/volcano-field-science-culture-and-communication-n-104300,Volcanology field science and society,edx,5-10
/course/exploring-volcanoes-and-their-hazards-in-iceland-104301,Volcanic hazards,edx,5-10
/course/innovative-business-models-for-expanding-broadban-33510,Innovative Business Models for Expanding Broadband and Closing the Access Gaps,edx,5-10
/course/cloud-operations-on-aws-64230,Cloud Operations on AWS,edx,5-10
/course/introduction-to-public-expenditure-and-financial--80716,Introduction to Public Expenditure and Financial Accountability (PEFA),edx,5-10
/course/lean-six-sigma-program-and-project-management-104256,Lean Six Sigma Program and Project Management,edx,5-10
/course/cloud-cost-management-optimization-strategies-61427,Cloud Cost Management: Optimization Strategies,edx,5-10
/course/sustainable-corporate-financing-application-74421,Sustainable Corporate Financing: Application,edx,5-10
/course/fixed-income-mathematics-pricing-and-valuation-of-74416,Fixed Income Mathematics: Pricing and Valuation of Bonds,edx,5-10
/course/road-safety-in-the-caribbean-region-institutions--34377,Road safety in the Caribbean region: institutions and data management,edx,5-10
/course/road-safety-in-the-caribbean-region-safe-urban-mo-34379,Road safety in the Caribbean region: safe urban mobility,edx,5-10
/course/fixed-income-instruments-and-markets-74415,Fixed Income Instruments and Markets,edx,5-10
/course/the-art-and-science-of-decision-making-66461,The Art and Science of Decision Making,edx,5-10
/course/engagement-banking-71204,Engagement Banking,edx,5-10
/course/yield-curve-analysis-2-74414,Yield Curve Analysis,edx,5-10
/course/the-abc-of-business-communication-66056,The ABC of Business Communication,edx,5-10
/course/frugal-innovation-59832,Frugal Innovation,edx,5-10
/course/hosting-simple-web-applications-using-amazon-ligh-104277,Hosting Simple Web Applications using Amazon Lightsail,edx,5-10
/course/inspiring-leadership-through-role-models-66058,Inspiring Leadership through Role Models,edx,5-10
