Link,Title,Provider,Rating,Num_Reviewer,platform,subject,Entity,Reviewer_Status
/course/managing-adhd-autism-learning-disabiliti-12821,"Managing ADHD, Autism, Learning Disabilities, and Concussion in School",university,5.0,998,coursera,education,cusystem,ratings at Coursera
/course/queeringtheschoolhouse-17016,Queering the Schoolhouse: LGBTQ+ Inclusion for Educators,university,5.0,133,coursera,education,cusystem,ratings at Coursera
/course/ielts-listening-speaking-40665,IELTS Listening and Speaking Sections Skills Mastery,university,4.5,276,coursera,education,uci,ratings at Coursera
/course/globalhighered-683,Globalizing Higher Education and Research for the ‘Knowledge Economy’,university,5.0,1,coursera,education,wisconsin,reviews
/course/apcalc-1774,Preparing for the AP* Calculus AB and BC Exams,university,5.0,1,coursera,education,uhs,reviews
/course/learntomod-4931,LearnToMod For Educators,university,5.0,1,coursera,education,ucsd,reviews
/course/instructmethodshpe-949,Instructional Methods in Health Professions Education,university,4.5,394,coursera,education,umich,ratings at Coursera
/course/rookieteaching-871,Surviving Your Rookie Year of Teaching: 3 Key Ideas & High Leverage Techniques,university,4.0,4,coursera,education,mtr,reviews
/course/shaping2paths-1929,"Shaping the Way We Teach English, 2: Paths to Success in ELT",university,4.0,7,coursera,education,uo,reviews
/course/teaching-efl-esl-reading-5968,Teaching EFL/ESL Reading: A Task Based Approach,university,4.5,456,coursera,education,london,ratings at Coursera
/course/classdiscussion-7421,Orchestrating Whole Classroom Discussion,university,4.5,26,coursera,education,penn,ratings at Coursera
/course/elearning-2066,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,university,4.5,376,coursera,education,illinois,ratings at Coursera
/course/como-hacer-una-tesis-9595,Cómo hacer una tesis,university,5.0,1511,coursera,education,unam,ratings at Coursera
/course/assessment-higher-education-10184,Assessment in Higher Education: Professional Development for Teachers,university,5.0,310,coursera,education,erasmus,ratings at Coursera
/course/newtechtools-3140,Powerful Tools for Teaching and Learning: Web 2.0 Tools,university,4.5,152,coursera,education,uhs,ratings at Coursera
/course/virtual-teacher-18674,Virtual Teacher,university,4.0,1,coursera,education,uci,reviews
/course/tesol-18630,"TESOL Certificate, Part 1: Teach English Now!",university,4.0,4,coursera,education,asu,reviews
/course/learning-assessment-883,Foundations of Teaching for Learning: Introduction to Student Assessment,institution,4.5,171,coursera,education,cet1886,ratings at Coursera
/course/professional-teacher-884,Foundations of Teaching for Learning: Being a Professional,institution,4.5,151,coursera,education,cet1886,ratings at Coursera
/course/scileadership-954,Inquiry Science Learning: Perspectives and Practices 1 - Science Leadership,university,4.0,1,coursera,education,rice,reviews
/course/videogameslearning-850,Video Games and Learning,university,4.0,1,coursera,education,wisconsin,reviews
/course/inquirytechniques-955,Inquiry Science Learning: Perspectives and Practices 2 - Techniques for Success,university,4.0,1,coursera,education,rice,reviews
/course/scicontentsurvey-956,Inquiry Science Learning: Perspectives and Practices 3 - Science Content Survey,university,4.0,1,coursera,education,rice,reviews
/course/scistudentinquiry-957,Inquiry Science Learning: Perspectives & Practices 4 - Student-Centered Inquiry,university,4.0,1,coursera,education,rice,reviews
/course/behaviorprinciples-1764,Applying Principles of Behavior in the K-12 Classroom,university,4.0,1,coursera,education,uhs,reviews
/course/edc-421,E-learning and Digital Cultures,university,4.0,5,coursera,education,edinburgh,reviews
/course/univteaching101-1696,University Teaching 101,university,4.0,3,coursera,education,jhu,reviews
/course/succeedincollege-2112,How to Succeed in College,university,4.0,3,coursera,education,uk,reviews
/course/start1styearteaching-872,First Year Teaching (Elementary Grades) - Success from the Start,institution,4.0,1,coursera,education,ntc,reviews
/course/applying-to-college-7504,How to Apply to College,university,4.0,1,coursera,education,penn,reviews
/course/blendedlearning-1199,Blended Learning: Personalizing Education for Students,institution,4.5,225,coursera,education,ntc,ratings at Coursera
/course/sciframework-958,Using The Next Generation Science Standards for Students’ Deeper Understanding ,university,3.5,2,coursera,education,rice,reviews
/course/usuniversities-1620,Applying to U.S. Universities,university,4.0,10,coursera,education,penn,reviews
/course/ticyeducacion-770,Tecnologías de información y comunicación en la educación,university,3.0,1,coursera,education,unam,reviews
/course/apcalcpart1-2663,Preparing for the AP* Calculus AB and BC Exams (Part 1 - Differential Calculus),university,3.0,1,coursera,education,uhs,reviews
/course/apcalcpart2-2919,Preparing for the AP* Calculus AB and BC Exams (Part 2 - Integral Calculus),university,3.0,1,coursera,education,uhs,reviews
/course/virtual-instruction-860,Foundations of Virtual Instruction ,university,4.5,1429,coursera,education,uci,ratings at Coursera
/course/artinquiry-865,Art & Inquiry: Museum Teaching Strategies For Your Classroom,institution,4.5,427,coursera,education,moma,ratings at Coursera
/course/english-for-research-publication-purposes-18678,English for Research Publication Purposes,university,2.0,1,coursera,education,mipt,reviews
/course/teaching-874,Foundations of Teaching for Learning: Introduction,institution,4.5,719,coursera,education,cet1886,ratings at Coursera
/course/teaching-plan-882,Foundations of Teaching for Learning: Planning for Teaching and Learning,institution,5.0,182,coursera,education,cet1886,ratings at Coursera
/course/watershed-1367,FLOW Education: Facilitating Learning through Outdoor Watershed Education,institution,1.0,1,coursera,education,natgeo,reviews
/course/advancedvirtual-1567,Advanced Instructional Strategies in the Virtual Classroom,university,4.5,546,coursera,education,uci,ratings at Coursera
/course/academic-english-18762,Academic English: Writing,university,1.5,2,coursera,education,uci,reviews
/course/massiveteaching-1978,Teaching goes massive: new skills required,university,1.5,3,coursera,education,zurich,reviews
/course/preparing-sas-programming-certification-25476,Preparing for the SAS Programming Certification Exam ,institution,5.0,88,coursera,education,sas,ratings at Coursera
/course/practicing-sas-programming-certification-25479,Practicing for the SAS Programming Certification Exam,institution,5.0,62,coursera,education,sas,ratings at Coursera
/course/problem-solving-skills-6687,Problem-Solving Skills for University Success,university,5.0,1376,coursera,education,sydney,ratings at Coursera
/course/communication-skills-6688,Communication Skills for University Success,university,5.0,852,coursera,education,sydney,ratings at Coursera
/course/music-education-5950,The Place of Music in 21st Century Education,university,5.0,64,coursera,education,sydney,ratings at Coursera
/course/university-teaching-8293,University Teaching,university,5.0,1106,coursera,education,hku,ratings at Coursera
